T [MeV]	muB [MeV]	nB/T^3
120	490	0.33578275740263513
120	500	0.37131034600058
120	510	0.4115508641659277
120	520	0.4576035010516441
120	530	0.5109748740102438
120	540	0.5735999183014368
120	550	0.6474571267017748
120	560	0.7330946356614296
120	570	0.8266995918497855
120	580	0.9184788584392835
120	590	0.9981489903173989
120	600	1.063811418982511
120	605	1.093146796289467
120	610	1.12136371464184
120	615	1.1491554928717815
120	620	1.176943562785714
120	625	1.2048821477591756
120	630	1.2328917078620194
125	0	0.
125	10	0.001159105608252075
125	20	0.002325639921798738
125	30	0.00350708706504053
125	40	0.004711042580448269
125	50	0.00594527059049507
125	60	0.007217762717771744
125	70	0.008536799368013421
125	80	0.009911014003454252
125	90	0.011349461057197488
125	100	0.01286168816656449
125	110	0.014457813442818533
125	120	0.016148608534840316
125	130	0.017945588297287724
125	140	0.01986110792902112
125	150	0.02190846852405608
125	160	0.02410203204901755
125	170	0.0264573468635649
125	180	0.028991285012124023
125	190	0.03172219263984969
125	200	0.034670055055498
125	210	0.037856678141192764
125	220	0.041305888045138975
125	230	0.045043751368074814
125	240	0.04909881839939057
125	250	0.05350239239508908
125	260	0.058288828404540395
125	270	0.06349586587707952
125	280	0.06916500013493387
125	290	0.07534189895489873
125	300	0.08207687201640862
125	310	0.08942540296931076
125	320	0.0974487565277949
125	330	0.10621467657277914
125	340	0.11579819611764726
125	350	0.12628258644139195
125	360	0.13776048170848557
125	370	0.15033522724888468
125	380	0.16412251590752064
125	390	0.17925239813804797
125	400	0.1958717790811524
125	410	0.21414754875841224
125	420	0.23427052816912813
125	430	0.2564604407389328
125	440	0.2809721099878279
125	450	0.3081029672645636
125	460	0.33820157672021145
125	470	0.37167591687554286
125	480	0.4089979410993568
125	490	0.450696272254559
125	500	0.4973200082461292
125	510	0.5493423191069033
125	520	0.6069573159238346
125	530	0.6697316985171734
125	540	0.7361651501271684
125	550	0.8034527376621243
125	560	0.8679837310749334
125	570	0.926799872896637
125	580	0.9791315861837069
125	590	1.0265814283549124
125	600	1.0718023480478656
125	605	1.0942977730909853
125	610	1.116951172225055
125	615	1.139827559000825
125	620	1.1629064771948783
125	625	1.1860895280895503
125	630	1.2092085133437012
130	0	0.
130	10	0.0017128368803064743
130	20	0.0034360076329896946
130	30	0.0051799055919950505
130	40	0.006955043784888331
130	50	0.008772116713544099
130	60	0.010642064474967136
130	70	0.01257614003774557
130	80	0.0145859805169578
130	90	0.016683683332371965
130	100	0.018881888177136725
130	110	0.021193865785129797
130	120	0.02363361455480298
130	130	0.02621596615705542
130	140	0.028956701364250426
130	150	0.03187267742665903
130	160	0.03498196846957996
130	170	0.03830402050503815
130	180	0.04185982284558459
130	190	0.04567209788150379
130	200	0.0497655114164804
130	210	0.05416690601814232
130	220	0.05890556012935434
130	230	0.06401347603862625
130	240	0.06952570020015926
130	250	0.07548067983793329
130	260	0.08192066028895313
130	270	0.0888921280793667
130	280	0.09644630532127774
130	290	0.10463970165455609
130	300	0.11353473044560779
130	310	0.12320039632326923
130	320	0.1337130610755129
130	330	0.14515729408151834
130	340	0.1576268110913119
130	350	0.17122550031057365
130	360	0.18606852542839072
130	370	0.20228347831614504
130	380	0.22001152484077563
130	390	0.23940843702215006
130	400	0.26064532153650277
130	410	0.2839087173733858
130	420	0.3093995166531361
130	430	0.33732982256609
130	440	0.3679163506173661
130	450	0.4013682781399572
130	460	0.4378665890054493
130	470	0.47753120850714764
130	480	0.5203722721064993
130	490	0.566224281924615
130	500	0.6146691813953699
130	510	0.6649691121958767
130	520	0.7160505879133753
130	530	0.7665967878653145
130	540	0.8152867012100662
130	550	0.8611452020709337
130	560	0.9038622100576774
130	570	0.9438968325732613
130	580	0.9822823866877257
130	590	1.0202289975829342
130	600	1.0587214267965808
130	605	1.0783509570524599
130	610	1.0982598949479114
130	615	1.118420862966132
130	620	1.1387722158050355
130	625	1.159220550701244
130	630	1.179643485567903
135	0	0.
135	10	0.0024282506147181096
135	20	0.004870063979957844
135	30	0.007339063565782316
135	40	0.009848995387112772
135	50	0.012413792052638546
135	60	0.015047640173525638
135	70	0.01776505230454243
135	80	0.020580944629271063
135	90	0.023510721652502835
135	100	0.026570369229560974
135	110	0.029776557328108424
135	120	0.03314675399381984
135	130	0.03669935207906678
135	140	0.04045381036966287
135	150	0.044430810831196516
135	160	0.04865243375832962
135	170	0.053142352676930946
135	180	0.057926050844316526
135	190	0.06303106119306481
135	200	0.06848723142599218
135	210	0.07432701578330723
135	220	0.08058579461867664
135	230	0.08730222233448974
135	240	0.09451860334802209
135	250	0.10228129442021835
135	260	0.11064112982465238
135	270	0.11965386311151688
135	280	0.12938061552125113
135	290	0.13988831586752443
135	300	0.1512501096231309
135	310	0.16354570528576454
135	320	0.17686161308762216
135	330	0.19129121384696782
135	340	0.20693457311492747
135	350	0.2238978865959389
135	360	0.24229240630477336
135	370	0.26223265238132026
135	380	0.2838336650838585
135	390	0.30720699862003337
135	400	0.3324551140025763
135	410	0.359663811650878
135	420	0.3888923894178262
135	430	0.4201613727833429
135	440	0.4534380172970454
135	450	0.48862041902269476
135	460	0.5255220693971
135	470	0.5638600468185261
135	480	0.6032515553099468
135	490	0.6432246527866603
135	500	0.6832487906886929
135	510	0.7227880176927047
135	520	0.7613735906003423
135	530	0.7986840517132363
135	540	0.8346126609272798
135	550	0.8692993389806227
135	560	0.9031107816247131
135	570	0.9365675093715381
135	580	0.970233920452177
135	590	1.0045986159227942
135	600	1.039972384484099
135	605	1.0580690132281678
135	610	1.076421949439107
135	615	1.0949972900766316
135	620	1.1137447834320895
135	625	1.132598849970587
135	630	1.1514799305997925
140	0	0.
140	10	0.0033393987904241592
140	20	0.006695540286684277
140	30	0.01008523060086576
140	40	0.013525404148233118
140	50	0.01703319153362947
140	60	0.020625991945281905
140	70	0.02432155159351784
140	80	0.02813804976083696
140	90	0.03209419404791228
140	100	0.03620932642145328
140	110	0.04050354164795836
140	120	0.04499781968117627
140	130	0.04971417345975621
140	140	0.05467581343098266
140	150	0.05990732984721869
140	160	0.0654348934824276
140	170	0.07128647484559163
140	180	0.07749208112985263
140	190	0.08408400901073362
140	200	0.09109710985021247
140	210	0.09856906185970978
140	220	0.10654064107792012
140	230	0.11505597967379505
140	240	0.12416279581356741
140	250	0.13391257414778482
140	260	0.14436066971350184
140	270	0.15556630083245795
140	280	0.16759238847265573
140	290	0.18050519097859363
140	300	0.19437367460954075
140	310	0.20926855330653032
140	320	0.22526092682648094
140	330	0.24242044740706933
140	340	0.26081295444084523
140	350	0.28049753745385075
140	360	0.301523024535112
140	370	0.3239239491935596
140	380	0.34771612608696617
140	390	0.3728920649806395
140	400	0.39941656707594037
140	410	0.4272229681984216
140	420	0.4562106011565869
140	430	0.4862441193022838
140	440	0.5171553257606052
140	450	0.5487480600979933
140	460	0.58080648456076
140	470	0.6131067806357626
140	480	0.6454318347009798
140	490	0.6775879921653984
140	500	0.7094224636372126
140	510	0.7408395314572184
140	520	0.7718134140819497
140	530	0.8023955479648194
140	540	0.8327142166034789
140	550	0.8629649407050661
140	560	0.893390912057985
140	570	0.9242540243559569
140	580	0.9557986862931896
140	590	0.9882123692914214
140	600	1.0215883640632093
140	605	1.0386332574239412
140	610	1.0558969082615806
140	615	1.0733539107929326
140	620	1.0909702443754912
140	625	1.1087037791542662
140	630	1.1265050447327454
145	0	0.
145	10	0.004463364089120826
145	20	0.008946055565471995
145	30	0.013467471098333746
145	40	0.018047147560844554
145	50	0.02270483622048125
145	60	0.0274605817972637
145	70	0.03233480794206562
145	80	0.037348410599189905
145	90	0.042522860582897185
145	100	0.04788031649176185
145	110	0.05344374876904507
145	120	0.05923707527710058
145	130	0.06528530811663381
145	140	0.07161471056637063
145	150	0.07825296185051016
145	160	0.085229325931108
145	170	0.09257481857106244
145	180	0.10032236446783147
145	190	0.10850693330929599
145	200	0.11716564008987876
145	210	0.12633779106287363
145	220	0.13606485246065125
145	230	0.1463903148234203
145	240	0.15735942206156103
145	250	0.16901873183179467
145	260	0.18141547352715826
145	270	0.19459667326569682
145	280	0.20860802311618817
145	290	0.22349248578541744
145	300	0.23928864682221604
145	310	0.2560288545738342
145	320	0.27373722228703146
145	330	0.2924276043039441
145	340	0.31210169443938335
145	350	0.33274742310088323
145	360	0.354337842977316
145	370	0.376830684852654
145	380	0.40016873031444916
145	390	0.42428108806758863
145	400	0.4490853794613795
145	410	0.47449074928120966
145	420	0.5004015335166765
145	430	0.526721352238708
145	440	0.553357365014482
145	450	0.5802244316781339
145	460	0.6072489623150372
145	470	0.6343723029349095
145	480	0.6615535722789152
145	490	0.688771922878904
145	500	0.7160282245232772
145	510	0.7433461482525372
145	520	0.770772555269312
145	530	0.7983769605577491
145	540	0.826249666158348
145	550	0.8544979734539825
145	560	0.8832397586502817
145	570	0.9125937425968068
145	580	0.9426661467736684
145	590	0.9735342125640062
145	600	1.0052282729793398
145	605	1.021377591260588
145	610	1.037715437060158
145	615	1.0542260607096596
145	620	1.0708889298647022
145	625	1.0876789678809826
145	630	1.1045669879495605
150	0	0.
150	10	0.005758987632359516
150	20	0.011538684891161919
150	30	0.01735987378314506
150	40	0.023243482277342128
150	50	0.029210660228055005
150	60	0.035282858638397904
150	70	0.04148191304571532
150	80	0.047830131482623675
150	90	0.05435038699185422
150	100	0.061066214046522946
150	110	0.06800190735942177
150	120	0.07518262045229412
150	130	0.0826344599274164
150	140	0.09038456961006146
150	150	0.09846119659679678
150	160	0.10689372878159921
150	170	0.11571269071128414
150	180	0.12494968184755871
