T [MeV]	muB [MeV]	chi2B
185	450	0.3315080707061289
190	450	0.3307103790600175
195	450	0.33003271429850567
200	450	0.32951434510097255
205	450	0.32914317966025597
210	450	0.3288704992953814
215	450	0.328626691743629
220	450	0.3283345192011868
225	450	0.3279188421661088
230	450	0.32731288448429724
235	450	0.32646162475126833
240	450	0.32532303969227405
245	450	0.323867884029861
100	480	0.07376518597475192
105	480	0.11711871231748652
110	480	0.18036653786835924
115	480	0.25894181469131494
120	480	0.35839110877725494
125	480	0.49273053260131616
130	480	0.577103098241727
135	480	0.5368576794475575
140	480	0.45178071179024
145	480	0.3944220583573546
150	480	0.36815436504712434
155	480	0.35818112381173167
160	480	0.35448179788235995
165	480	0.352541380818142
170	480	0.3507523086674636
175	480	0.3487435761291115
180	480	0.346589288843567
185	480	0.34447116343619805
190	480	0.34254704986612194
195	480	0.34090979054200227
200	480	0.3395846624814561
205	480	0.3385419434855998
210	480	0.337713741244255
215	480	0.3370101057457847
220	480	0.33633235198843187
225	480	0.3355830068915563
230	480	0.3346725418401635
235	480	0.3335233895432215
240	480	0.3320718494606584
245	480	0.3302684657434291
100	500	0.09451212633768409
102	500	0.11358400278208398
104	500	0.1362556521622509
106	500	0.16294478524886777
108	500	0.19361428968957228
110	500	0.22759262766812804
112	500	0.2638219257701378
114	500	0.3018950652840712
116	500	0.34351662551735473
118	500	0.39267927263476493
120	500	0.45275475225402095
125	500	0.6157296362542546
130	500	0.6438147962776967
135	500	0.5382189537409519
140	500	0.44290744680364375
145	500	0.39557790347342087
150	500	0.3771029366284421
155	500	0.3703258220705262
160	500	0.367153979997102
165	500	0.36458441470098923
170	500	0.3617833238111283
100	510	0.10715340875868051
102	510	0.1286169587074714
104	510	0.15417896888438595
106	510	0.1842192352231301
108	510	0.21853553327430902
110	510	0.2561886968375207
112	510	0.2959616524072116
114	510	0.33786549930287724
116	510	0.38500646281668655
118	510	0.44310874703185155
120	510	0.5151927097490957
125	510	0.6853058356887738
130	510	0.6616390596725982
135	510	0.5282668069184189
140	510	0.43670852566453217
145	510	0.396755248244637
150	510	0.3821405022442625
