T [MeV]	muB [MeV]	nB/T^3	s/T^3
135	530	0.7952895659504657	9.323611052197347
135	540	0.8307503132938991	9.522834274138146
135	550	0.8655266209000924	9.717038117625284
135	560	0.8998818171339173	9.908497799238559
135	570	0.9341088240158477	10.099131447079612
135	580	0.9685006465033357	10.290378165593006
135	590	1.0033305226656863	10.483172177226024
135	600	1.0388409196035797	10.67798082770118
140	0	0.	3.7001092772624125
140	10	0.003286704442780759	3.70144261419229
140	20	0.006591478522107862	3.705448235828866
140	30	0.009932426826327861	3.7121429310203706
140	40	0.013327725231415124	3.721554538563908
140	50	0.016795660024155196	3.733721743779402
140	60	0.020354671259075925	3.7486938143918573
140	70	0.024023401858362572	3.766530295674206
140	80	0.027820754055047723	3.787300689508409
140	90	0.03176595490051295	3.8110841460480174
140	100	0.03587863270488022	3.8379691999179326
140	110	0.04017890646304234	3.868053585287566
140	120	0.044687490539627006	3.901444165621457
140	130	0.04942581712144292	3.9382570143423052
140	140	0.05441617921701655	3.9786176818757966
140	150	0.059681897239467395	4.022661682329779
140	160	0.06524751244950253	4.070535228991856
140	170	0.07113901068051066	4.122396241301175
140	180	0.07738407977858747	4.1784156360729225
140	190	0.08401240392174981	4.238778901273088
140	200	0.09105599730543075	4.303687929844946
140	210	0.09854957836337597	4.373363061723138
140	220	0.10653098337727457	4.448045241379975
140	230	0.11504161470070484	4.527998142584048
140	240	0.1241269132100742	4.613510037629497
140	250	0.13383683646138997	4.704895091210947
140	260	0.1442263123298311	4.802493636307071
140	270	0.15535562224207916	4.90667084021422
140	280	0.16729064711098807	5.017812997496212
140	290	0.18010288309749767	5.1363205061444335
140	300	0.19386910352459596	5.262596420871535
140	310	0.20867051014383942	5.397029381052886
140	320	0.22459118724736535	5.539969755089886
140	330	0.24171565414058838	5.6916981332565575
140	340	0.26012532149754974	5.8523859656328385
140	350	0.2798937129055856	6.022049311880789
140	360	0.30108043867007594	6.200498425340699
140	370	0.32372412183875987	6.387288184982439
140	380	0.3478347790644089	6.581676937843445
140	390	0.37338652226615954	6.782603473288218
140	400	0.4003117947985098	6.988692786012234
140	410	0.4284985638588697	7.198299752822011
140	420	0.4577918143460488	7.409595124628952
140	430	0.4880002145694348	7.620690801784936
140	440	0.5189079542096191	7.829791090104086
140	450	0.5502906535872604	8.035349028181576
140	460	0.5819332268746719	8.236201749128053
140	470	0.6136470043407224	8.4316613240941
140	480	0.6452835118343884	8.621546066494112
140	490	0.6767430566702708	8.806149944696221
140	500	0.7079774224413745	8.98616033064574
140	510	0.7389871457617733	9.162542970301086
140	520	0.7698147084118941	9.336415952656184
140	530	0.8005353631530785	9.508931772832641
140	540	0.8312472488702024	9.681180612843557
140	550	0.8620620887930683	9.854120996834776
140	560	0.8930972867613064	10.02853806374562
140	570	0.9244697838988324	10.205025752179374
140	580	0.9562916946481194	10.383987295448733
140	590	0.9886675245237543	10.56564813106393
140	600	1.021692669953026	10.750076025090742
145	0	0.	4.205419758641999
145	10	0.004402694627866789	4.207132072997453
145	20	0.008826064405661098	4.212272473911634
145	30	0.013290798538608206	4.220851352348521
145	40	0.017817618337395633	4.232886086454701
145	50	0.022427303140911205	4.248401137525633
145	60	0.02714072777275467	4.267428196092793
145	70	0.03197891486036288	4.290006388518933
145	80	0.03696310494771835	4.31618255553396
145	90	0.04211484683738259	4.3460116137414735
145	100	0.047456110043932034	4.379557008931316
145	110	0.05300942060043932	4.416891265669856
145	120	0.0587980207152798	4.458096630682069
145	130	0.06484605191964007	4.50326579750207
145	140	0.07117876023624822	4.552502686200713
145	150	0.07782272058634156	4.605923234100141
145	160	0.08480607585829944	4.663656130652581
