T [MeV]	muB/T	nB/T^3
140	3.5	0.676942100343977
140	4.	0.8930972867508788
145	0	0
145	0.5	0.03332235377515824
145	1.	0.0745324273643767
145	1.5	0.1332687669793652
145	2.	0.22324919915199604
145	2.5	0.36028432539934446
145	3.	0.5408466736984453
145	3.5	0.7357035206088846
145	4.	0.9443023648649782
150	0	0
150	0.5	0.04442936298157392
150	1.	0.09842556745171537
150	1.5	0.17292029078222027
150	2.	0.27990761122869084
150	2.5	0.4242757740728056
150	3.	0.5948537907329408
150	3.5	0.7816571815183271
150	4.	0.9916887397625326
155	0	0
155	0.5	0.05674992463334872
155	1.	0.12381049348310058
155	1.5	0.2113106884192232
155	2.	0.32680686856840246
155	2.5	0.4703767998239539
155	3.	0.6364390455490552
155	3.5	0.8231875983307493
155	4.	1.0363616645414104
160	0	0
160	0.5	0.06835304437691532
160	1.	0.14669515733311853
160	1.5	0.2433495594132103
160	2.	0.36320500789059856
160	2.5	0.5068499829826072
160	3.	0.6729976149032035
160	3.5	0.8619305496362397
160	4.	1.0784588025283226
165	0	0
165	0.5	0.07818288443418588
165	1.	0.16573863515121384
165	1.5	0.2694499816267663
165	2.	0.39312485330824537
165	2.5	0.5385423307217009
165	3.	0.7065866193723823
165	3.5	0.8982609072098448
165	4.	1.1179429371103942
170	0	0
170	0.5	0.08653133303831329
170	1.	0.18187762005035493
170	1.5	0.2916727917341055
170	2.	0.4192241165692296
170	2.5	0.567212429182981
170	3.	0.7377595282418137
170	3.5	0.9322926646089037
170	4.	1.1547368623679288
175	0	0
175	0.5	0.09390954821654207
175	1.	0.1960760161406865
175	1.5	0.31128596443726614
175	2.	0.44263650879496436
175	2.5	0.5934708430139009
175	3.	0.7666965288005257
175	3.5	0.9640325777314216
175	4.	1.1887563480468382
180	0	0
180	0.5	0.10058445173421411
180	1.	0.20880303907324504
180	1.5	0.32885403457350576
180	2.	0.46383592119817885
180	2.5	0.6175753503732885
180	3.	0.7934664687450573
180	3.5	0.9934153955777418
180	4.	1.2199239301074114
185	0	0
185	0.5	0.10664747099486376
185	1.	0.2202462273424418
185	1.5	0.34463863777872134
185	2.	0.48306606843420286
185	2.5	0.6396681152119592
185	3.	0.8180866584525102
185	3.5	1.020331251955348
185	4.	1.2481777501858504
190	0	0
190	0.5	0.11212242280548068
190	1.	0.23049290060052893
190	1.5	0.3587980832806605
190	2.	0.5004889062752159
190	2.5	0.6598407147597855
190	3.	0.8405433213098724
190	3.5	1.0446561451051382
190	4.	1.2734790635042499
195	0	0
195	0.5	0.11701870076925812
195	1.	0.23960796983793875
195	1.5	0.3714582877885126
195	2.	0.5162293897494058
195	2.5	0.6781539006729991
195	3.	0.8608073749704196
195	3.5	1.0662839010910736
195	4.	1.295820001712914
200	0	0
200	0.5	0.12135036098528289
200	1.	0.24765898173393014
200	1.5	0.38273313807760606
200	2.	0.5303883123790972
200	2.5	0.6946474426548958
200	3.	0.8788516082482779
200	3.5	1.0851576082296157
200	4.	1.3152324359467704
205	0	0
205	0.5	0.12514096115365841
205	1.	0.25472117362537705
205	1.5	0.39272838123538184
205	2.	0.5430467238539154
205	2.5	0.709349014815249
205	3.	0.8946695486710272
205	3.5	1.101298769035751
205	4.	1.331798222718619
210	0	0
210	0.5	0.12842341786261008
210	1.	0.26087626180987883
210	1.5	0.40154115630689463
210	2.	0.5542688747728179
210	2.5	0.7222840693246158
210	3.	0.9082953516855773
210	3.5	1.114832168021534
210	4.	1.3456605141639313
215	0	0
215	0.5	0.13123849612364027
215	1.	0.2662099033558362
215	1.5	0.4092589714324272
215	2.	0.5641055037734635
215	2.5	0.7334869360628499
215	3.	0.919823885106196
215	3.5	1.1260038898860578
215	4.	1.3570350609958761
220	0	0
220	0.5	0.13363320078497937
220	1.	0.2708093791280381
220	1.5	0.41595910824703436
220	2.	0.572597823403749
220	2.5	0.7430130353318687
220	3.	0.9294300353331137
220	3.5	1.1351892746242422
220	4.	1.3662194070655704
225	0	0
225	0.5	0.13565944577854452
225	1.	0.2747618426784194
225	1.5	0.4217085689229525
225	2.	0.5797822134922015
225	2.5	0.750952028032349
225	3.	0.9373860221099626
225	3.5	1.142887017580422
225	4.	1.3735963996265923
230	0	0
230	0.5	0.13737305720246
230	1.	0.2781530967184431
230	1.5	0.426564468562526
230	2.	0.5856955887196169
230	2.5	0.7574416873170904
230	3.	0.9440752031522412
230	3.5	1.1496952232333337
230	4.	1.3796262861590187
235	0	0
235	0.5	0.1388330645987815
235	1.	0.2810667676005403
235	1.5	0.4305747627064821
235	2.	0.5903814290339362
235	2.5	0.762682203673622
235	3.	0.9500005201711751
235	3.5	1.156265091653501
235	4.	1.384818501253704
240	0	0
240	0.5	0.14010121320710872
240	1.	0.2835837521615131
240	1.5	0.43377923512649064
240	2.	0.5938964819512715
240	2.5	0.766950529580853
240	3.	0.9557854212418703
240	3.5	1.1632281331201453
240	4.	1.389669581083186
245	0	0
245	0.5	0.14124163540244208
245	1.	0.28578183978376465
245	1.5	0.43621070851637234
245	2.	0.5963181513547872
245	2.5	0.7706142379321553
245	3.	0.962164827075675
245	3.5	1.1710934267389321
245	4.	1.394546768766915
