T [MeV]	muB/T	P/T^4
165	3.5	2.1805283622544573
165	4.	2.6835637501236667
170	0	0.9808956446095245
170	0.5	1.0023080943360259
170	1.	1.0688331221748584
170	1.5	1.1865535121002193
170	2.	1.3636242660120055
170	2.5	1.6093899968163834
170	3.	1.9345145905618966
170	3.5	2.350967696363668
170	4.	2.871703450974338
175	0	1.080074880252379
175	0.5	1.10337481364648
175	1.	1.175420727673747
175	1.5	1.3017152506199807
175	2.	1.4895751051042352
175	2.5	1.7477613225651323
175	3.	2.086692110560706
175	3.5	2.5182675583585303
175	4.	3.0554045532050766
180	0	1.1816250656961234
180	0.5	1.2066345030943584
180	1.	1.283617351905567
180	1.5	1.4175263276273335
180	2.	1.6150683228482359
180	2.5	1.8845919967743658
180	3.	2.236257405911283
180	3.5	2.681792238591323
180	4.	3.23399538236532
185	0	1.2839222533756383
185	0.5	1.3104777848976925
185	1.	1.391879100620776
185	1.5	1.532584406148905
185	2.	1.7388608054175747
185	2.5	2.0187410389356653
185	3.	2.382102331954488
185	3.5	2.8404218553708427
185	4.	3.406326586440187
190	0	1.385597108065676
190	0.5	1.4135425954437648
190	1.	1.4988863040877642
190	1.5	1.6456623689906693
190	2.	1.85982389479388
190	2.5	2.1491406729927833
190	3.	2.523177585679167
190	3.5	2.9930979251466883
190	4.	3.571319798043078
195	0	1.4856653009120542
195	0.5	1.5148509924255353
195	1.	1.6036965314416642
195	1.5	1.7558876125795726
195	2.	1.9771539901634938
195	2.5	2.275028816963993
195	3.	2.658734633338117
195	3.5	3.1390688192714764
195	4.	3.728216458079066
200	0	1.5835247535340196
200	0.5	1.6138081105212085
200	1.	1.705748400283987
200	1.5	1.8627561889658546
200	2.	2.0903997386111794
200	2.5	2.39598532983185
200	3.	2.788366404974317
200	3.5	3.2779336779172605
200	4.	3.876625945691859
205	0	1.6788712240193704
205	0.5	1.7101177986787506
205	1.	1.8047781857373364
205	1.5	1.9660538061803552
205	2.	2.1993891158276226
205	2.5	2.511863503498042
205	3.	2.9119418156515713
205	3.5	3.4095807940821743
205	4.	4.0164692902914085
210	0	1.77159182941416
210	0.5	1.8036757759569872
210	1.	1.9007129643298313
210	1.5	2.0657512265511744
210	2.	2.304128078139371
210	2.5	2.622691333376843
210	3.	3.0295098792366026
210	3.5	3.5340966465314496
210	4.	4.1478947625654845
215	0	1.8616739681246732
215	0.5	1.8944781962405302
215	1.	1.9935791075017966
215	1.5	2.161914194005086
215	2.	2.40471245837784
215	2.5	2.7285853187305724
215	3.	3.141216684582371
215	3.5	3.651689120475538
215	4.	4.271208836220401
220	0	1.949142459088638
220	0.5	1.9825585485941093
220	1.	2.0834392605610312
220	1.5	2.2546414586994934
220	2.	2.50126729021442
220	2.5	2.8296914478933735
220	3.	3.2472501830231906
220	3.5	3.7626400861898612
220	4.	4.386837439693626
225	0	2.0340228934875286
225	0.5	2.0679508895048393
225	1.	2.170355791025678
225	1.5	2.3440290240999633
225	2.	2.593911966842126
225	2.5	2.9261520251104374
225	3.	3.3478116639095985
225	3.5	3.8672864029876046
225	4.	4.495315982305309
230	0	2.1163239174661475
230	0.5	2.1506720962252523
230	1.	2.2543733359691926
230	1.5	2.430153299075522
230	2.	2.6827440693712155
230	2.5	3.0180913406245
230	3.	3.443107115189345
230	3.5	3.9660226971636927
230	4.	4.59730051243345
235	0	2.1960311883906245
235	0.5	2.230715852794853
235	1.	2.3355131063801835
235	1.5	2.5130658425752754
235	2.	2.767834651873608
235	2.5	3.1056131012189976
235	3.	3.5333515733563896
235	3.5	4.059319115117342
235	4.	4.693591531652008
240	0	2.2731076181635363
240	0.5	2.308052957701279
240	1.	2.4137735011472343
240	1.5	2.592794278015852
240	2.	2.84922963424408
240	2.5	3.188804387175863
240	3.	3.6187814139484953
240	3.5	4.147748997123928
240	4.	4.785162765185076
245	0	2.347496484550073
245	0.5	2.382634516895427
245	1.	2.4891335735035383
245	1.5	2.6693459435803053
245	2.	2.9269539292007534
245	2.5	3.2677428686112417
245	3.	3.6996714926764884
245	3.5	4.2320232699159455
245	4.	4.873187699357707
