T [MeV]	muB/T	(e-3P)/T^4
230	1.	3.7906873470879456
230	1.5	3.879687452523538
230	2.	3.9919090531111827
230	2.5	4.11899460465206
230	3.	4.2578107174722515
230	3.5	4.404931017269116
230	4.	4.545822464134224
235	0	3.6514353472751013
235	0.5	3.6654064911382984
235	1.	3.712644562606584
235	1.5	3.7885800353886476
235	2.	3.8787801532733845
235	2.5	3.9777456642622506
235	3.	4.0929883802556075
235	3.5	4.232261265646779
235	4.	4.37321256518113
240	0	3.581780654883527
240	0.5	3.5925983847832885
240	1.	3.6332190486034293
240	1.5	3.696830854844058
240	2.	3.764825543901033
240	2.5	3.836583985613967
240	3.	3.935352451501183
240	3.5	4.084720462236049
240	4.	4.246434706752484
245	0	3.5095163802804556
245	0.5	3.517625881819425
245	1.	3.5524721085941704
245	1.5	3.6043334525751507
245	2.	3.6511894926273336
245	2.5	3.6994087580465616
245	3.	3.79030781092115
245	3.5	3.962324137308215
245	4.	4.144947763777461
